old_locus_tag,af3_classification,af3_ipTM,source,query_old_locus_tag
MA_0361,グレーゾーン,0.62,alphafold3,MA_4115
MA_0363,グレーゾーン,0.64,alphafold3,MA_4115
MA_1448,グレーゾーン,0.61,alphafold3,MA_4115
MA_0038,確信度の高い陰性,0.13,alphafold3,MA_4115
MA_0050,確信度の高い陰性,0.14,alphafold3,MA_4115
MA_0100,確信度の高い陰性,0.56,alphafold3,MA_4115
MA_0101,確信度の高い陰性,0.26,alphafold3,MA_4115
MA_0105,確信度の高い陰性,0.11,alphafold3,MA_4115
MA_0164,確信度の高い陰性,0.13,alphafold3,MA_4115
MA_0165,確信度の高い陰性,0.18,alphafold3,MA_4115
MA_0175,確信度の高い陰性,0.16,alphafold3,MA_4115
MA_0238,確信度の高い陰性,0.13,alphafold3,MA_4115
MA_0242,確信度の高い陰性,0.34,alphafold3,MA_4115
MA_0320,確信度の高い陰性,0.26,alphafold3,MA_4115
MA_0545,確信度の高い陰性,0.24,alphafold3,MA_4115
MA_0546,確信度の高い陰性,0.14,alphafold3,MA_4115
MA_0826,確信度の高い陰性,0.14,alphafold3,MA_4115
MA_1447,確信度の高い陰性,0.17,alphafold3,MA_4115
MA_1974,確信度の高い陰性,0.16,alphafold3,MA_4115
MA_1978,確信度の高い陰性,0.24,alphafold3,MA_4115
MA_2064,確信度の高い陰性,0.11,alphafold3,MA_4115
MA_2255,確信度の高い陰性,0.17,alphafold3,MA_4115
MA_2718,確信度の高い陰性,0.13,alphafold3,MA_4115
MA_2899,確信度の高い陰性,0.14,alphafold3,MA_4115
MA_3241,確信度の高い陰性,0.24,alphafold3,MA_4115
MA_4116,確信度の高い陰性,0.1,alphafold3,MA_4115
MA_3185,確信度の高い陰性,0.11,alphafold3,MA_4115
MA_3928,確信度の高い陰性,0.16,alphafold3,MA_4115
