protein_a_old_locus_tag,protein_a_label,protein_b_old_locus_tag,protein_b_label,class,confidence,source
MA_0688,HdrD1,MA_1014,CdhC (cluster 1),strict,明記済み+GFF特定(パラログ2候補の一方、要確認),"Lieber et al., PLoS ONE 2014"
MA_0688,HdrD1,MA_3862,CdhC (cluster 2),strict,明記済み+GFF特定(パラログ2候補の一方、要確認),"Lieber et al., PLoS ONE 2014"
MA_0688,HdrD1,MA_3733,Mer,strict,明記済み,"Lieber et al., PLoS ONE 2014"
MA_0688,HdrD1,MA_1478,DnaK,soft,明記済み,"Lieber et al., PLoS ONE 2014"
MA_0688,HdrD1,MA_4574,Hsp20,soft,明記済み,"Lieber et al., PLoS ONE 2014"
MA_4165,MtpA,MA_4164,MtpC,strict,明記済み,"Reichlen/Fu et al., J. Bacteriol. 2019"
MA_4165,MtpA,MA_4384,MtsF,soft,明記済み,"Biochemical Characterization of MtpA/MtpC, 2019"
MA_1111,RNAP subunit D (+DeltaD3),MA_0721,RNAP subunit L,strict,GFF特定(D=現行RefSeqでpseudogene、要確認),"Lessner et al., J. Biol. Chem. 2012"
MA_3898,NifD,MA_3899,NifK,strict,明記済み,"Cryo-EM nitrogenase-PII supercomplex, 2025"
MA_3898,NifD,MA_3896,NifI1,strict,GFF特定(遺伝子名なし、オペロン順序による推定),"Cryo-EM nitrogenase-PII supercomplex, 2025"
MA_3898,NifD,MA_3897,NifI2,strict,GFF特定(遺伝子名なし、オペロン順序による推定),"Cryo-EM nitrogenase-PII supercomplex, 2025"
MA_3899,NifK,MA_3896,NifI1,strict,GFF特定(NifDK複合体としての構造確認),"Cryo-EM nitrogenase-PII supercomplex, 2025"
MA_3899,NifK,MA_3897,NifI2,strict,GFF特定(NifDK複合体としての構造確認),"Cryo-EM nitrogenase-PII supercomplex, 2025"
MA_1012,CdhD (cluster 1),MA_1014,CdhC (cluster 1),strict,要確認(論文未特定、クラスター不明),"""Interface swapping..."" archaeal ACDS, 2026 (未特定)"
MA_1012,CdhD (cluster 1),MA_1016,CdhA (cluster 1),strict,要確認(同上),"""Interface swapping..."" archaeal ACDS, 2026 (未特定)"
MA_1012,CdhD (cluster 1),MA_1011,"acsC (CdhE?, cluster 1)",strict,要確認(遺伝子名不在+同上),"""Interface swapping..."" archaeal ACDS, 2026 (未特定)"
MA_3864,CdhD (cluster 2),MA_3862,CdhC (cluster 2),strict,要確認(同上、クラスター2側の可能性),"""Interface swapping..."" archaeal ACDS, 2026 (未特定)"
MA_3864,CdhD (cluster 2),MA_3860,CdhA (cluster 2),strict,要確認(同上),"""Interface swapping..."" archaeal ACDS, 2026 (未特定)"
MA_3864,CdhD (cluster 2),MA_3865,"acsC (CdhE?, cluster 2)",strict,要確認(同上),"""Interface swapping..."" archaeal ACDS, 2026 (未特定)"
MA_0658,MmcA,MA_0660/MA_0662/MA_0663,Rnf膜サブユニット(未特定),soft,要確認(論文が単一パートナーを特定せず),"MmcA is an electron conduit..., Nat. Commun. 2024"
MA_4548,McrC,MA_3992,Mmp7,strict,GFF特定(高確信度)、要確認(生物種:M. maripaludis),"Structure of the ATP-driven MCR activation complex, Nature 2025"
MA_4548,McrC,MA_3993,Mmp17,strict,GFF特定、要確認(生物種),"Structure of the ATP-driven MCR activation complex, Nature 2025"
MA_4548,McrC,MA_4546,McrA,strict,GFF特定、要確認(生物種),"Structure of the ATP-driven MCR activation complex, Nature 2025"
MA_3997,Mmp3,MA_4546,McrA,strict,GFF特定、要確認(生物種),"Structure of the ATP-driven MCR activation complex, Nature 2025"
MA_3998,A2/AtwA,MA_4546,McrA,strict,GFF特定、要確認(生物種),"Structure of the ATP-driven MCR activation complex, Nature 2025"
MA_4548,McrC,MA_3997,Mmp3,soft,GFF特定、出典未検証,"Dissertation experimental work, 2022 (未特定)"
MA_3992,Mmp7,MA_4546,McrA,soft,GFF特定、出典未検証,"Dissertation experimental work, 2022 (未特定)"
MA_3992,Mmp7,MA_4550,McrB,soft,GFF特定、出典未検証,"Dissertation experimental work, 2022 (未特定)"
MA_3992,Mmp7,MA_3997,Mmp3,soft,GFF特定、出典未検証,"Dissertation experimental work, 2022 (未特定)"
