old_locus_tag,af3_classification,af3_ipTM,bucket,found,primary_sheet,candidate_rank,interaction_score,interaction_priority_score,interaction_evidence_tier,coexpression_gse77738,coexpression_gse64349,string_cooccurrence,string_neighborhood
MA_0361,グレーゾーン,0.62,Candidates,True,Interaction_Candidates,60,8.008,31.921,Tier4_Weak,0.6236535502308199,0.0509049773755656,0.0,0.0
MA_0363,グレーゾーン,0.64,Candidates,True,Interaction_Candidates,47,8.366,32.673,Tier4_Weak,0.5860628709606507,0.2495475113122172,0.0,0.0
MA_1448,グレーゾーン,0.61,シートに掲載なし,True,Interaction_Neg_hit,1320,18.57,1.766,Tier4_Weak,0.758188612881952,0.8889140271493212,0.172,0.104
MA_0038,確信度の高い陰性,0.13,No_hit,True,Interaction_Neg_unmatched,864,8.085,20.413,Tier4_Weak,0.3890965047263135,0.7730769230769231,0.0,0.0
MA_0050,確信度の高い陰性,0.14,Candidates,True,Interaction_Candidates,27,8.048,34.2,Tier4_Weak,0.4601011211255221,0.551131221719457,0.0,0.0
MA_0100,確信度の高い陰性,0.56,Candidates,True,Interaction_Candidates,42,9.41,32.791,Tier4_Weak,0.4873598593097384,0.7963800904977375,0.0,0.0
MA_0101,確信度の高い陰性,0.26,Candidates,True,Interaction_Candidates,44,8.366,32.761,Tier4_Weak,0.4324027258738184,0.710633484162896,0.0,0.0
MA_0105,確信度の高い陰性,0.11,シートに掲載なし,True,Interaction_Neg_hit,1447,14.632,0.19,Tier4_Weak,0.8790943064409761,0.8744343891402715,0.0,0.0
MA_0164,確信度の高い陰性,0.13,Candidates_relaxed,True,Interaction_Candidates_relaxed,846,17.913,22.566,Tier4_Weak,0.866124422950099,0.8807692307692307,0.164,0.0
MA_0165,確信度の高い陰性,0.18,シートに掲載なし,True,Interaction_Neg_hit,1436,14.669,0.302,Tier4_Weak,0.8757968784348208,0.893212669683258,0.0,0.0
MA_0175,確信度の高い陰性,0.16,Candidates_relaxed,True,Interaction_Candidates_relaxed,196,11.885,30.878,Tier4_Weak,0.7052099362497252,0.7368778280542987,0.0,0.0
MA_0238,確信度の高い陰性,0.13,Candidates,True,Interaction_Candidates,31,8.097,33.548,Tier4_Weak,0.5922180699054738,0.1667420814479638,0.0,0.0
MA_0242,確信度の高い陰性,0.34,シートに掲載なし,True,Interaction_Neg_hit,1453,12.816,0.143,Tier4_Weak,0.7707188393053418,0.7638009049773755,0.0,0.0
MA_0320,確信度の高い陰性,0.26,Candidates,True,Interaction_Candidates,139,4.006,24.753,Tier4_Weak,0.1892723675533084,0.3936651583710407,0.0,0.0
MA_0545,確信度の高い陰性,0.24,Candidates_relaxed,True,Interaction_Candidates_relaxed,250,24.254,30.071,Tier4_Weak,0.883930534183337,0.8192307692307692,0.47,0.0
MA_0546,確信度の高い陰性,0.14,Candidates_relaxed,True,Interaction_Candidates_relaxed,1085,5.677,18.279,Tier4_Weak,0.4451527808309518,0.0269230769230769,0.0,0.0
MA_0826,確信度の高い陰性,0.14,シートに掲載なし,True,Interaction_Neg_hit,1369,13.939,1.165,Tier4_Weak,0.8302923719498791,0.004524886877828,0.17,0.0
MA_1447,確信度の高い陰性,0.17,Candidates_relaxed,True,Interaction_Candidates_relaxed,84,22.246,33.799,Tier4_Weak,0.9813145746317872,0.9975113122171946,0.167,0.135
MA_1974,確信度の高い陰性,0.16,Candidates_relaxed,True,Interaction_Candidates_relaxed,526,14.0,26.304,Tier4_Weak,0.8003956913607386,0.9588235294117649,0.0,0.0
MA_1978,確信度の高い陰性,0.24,Candidates_relaxed,True,Interaction_Candidates_relaxed,47,16.592,35.641,Tier4_Weak,0.8406243130358321,0.6852941176470588,0.155,0.0
MA_2064,確信度の高い陰性,0.11,シートに掲載なし,True,Interaction_Neg_hit,1465,12.809,0.0,Tier4_Weak,0.7674214112991866,0.7719457013574661,0.0,0.0
MA_2255,確信度の高い陰性,0.17,Candidates_relaxed,True,Interaction_Candidates_relaxed,126,13.906,32.67,Tier4_Weak,0.8377665420971642,0.82420814479638,0.0,0.0
MA_2718,確信度の高い陰性,0.13,Candidates_relaxed,True,Interaction_Candidates_relaxed,554,12.664,26.065,Tier4_Weak,0.94921960870521,0.1916289592760181,0.0,0.0
MA_2899,確信度の高い陰性,0.14,No_hit,True,Interaction_Neg_unmatched,1405,4.742,18.053,Tier4_Weak,0.2343372169707628,0.4350678733031674,0.0,0.0
MA_3241,確信度の高い陰性,0.24,シートに掲載なし,True,Interaction_Neg_hit,1465,11.616,0.0,Tier4_Weak,0.6801494834029457,0.7475113122171946,0.0,0.0
MA_4116,確信度の高い陰性,0.1,シートに掲載なし,True,Interaction_Neg_hit,157,48.474,18.761,Tier3_Moderate,0.9841723455704552,0.9771493212669684,0.0,0.849
MA_3185,確信度の高い陰性,0.11,No_hit,True,Interaction_Neg_unmatched,1637,3.136,16.919,Tier4_Weak,0.0868322708287535,0.4920814479638009,0.0,0.0
MA_3928,確信度の高い陰性,0.16,No_hit,True,Interaction_Neg_unmatched,1259,5.585,18.648,Tier4_Weak,0.3893163332600572,0.1723981900452489,0.0,0.0
