old_locus_tag,protein_hunter_score,interaction_score,final_score,final_score_tier,interaction_evidence_tier
MA_0361,14,0.848,23.927,Tier4_Weak,Tier4_Weak
MA_0363,14,4.159,26.245,Tier3_Moderate,Tier4_Weak
MA_1448,9,20.204,29.143,Tier3_Moderate,Tier4_Weak
MA_0038,9,12.885,24.02,Tier4_Weak,Tier4_Weak
MA_0050,14,9.186,29.764,Tier3_Moderate,Tier4_Weak
MA_0100,14,13.273,32.624,Tier3_Moderate,Tier4_Weak
MA_0101,14,11.844,31.624,Tier3_Moderate,Tier4_Weak
MA_0105,9,14.574,25.202,Tier3_Moderate,Tier4_Weak
MA_0164,9,18.096,27.667,Tier3_Moderate,Tier4_Weak
MA_0165,9,14.887,25.421,Tier3_Moderate,Tier4_Weak
MA_0175,9,12.281,23.597,Tier4_Weak,Tier4_Weak
MA_0238,14,2.779,25.279,Tier3_Moderate,Tier4_Weak
MA_0242,9,12.73,23.911,Tier4_Weak,Tier4_Weak
MA_0320,14,6.561,27.926,Tier3_Moderate,Tier4_Weak
MA_0545,9,23.446,31.412,Tier3_Moderate,Tier4_Weak
MA_0546,9,0.449,15.314,Tier4_Weak,Tier4_Weak
MA_0826,9,3.617,17.532,Tier4_Weak,Tier4_Weak
MA_1447,9,22.448,30.714,Tier3_Moderate,Tier4_Weak
MA_1974,9,15.98,26.186,Tier3_Moderate,Tier4_Weak
MA_1978,9,14.651,25.256,Tier3_Moderate,Tier4_Weak
MA_2064,9,12.866,24.006,Tier4_Weak,Tier4_Weak
MA_2255,9,13.737,24.616,Tier4_Weak,Tier4_Weak
MA_2718,9,3.194,17.236,Tier4_Weak,Tier4_Weak
MA_2899,9,7.251,20.076,Tier4_Weak,Tier4_Weak
MA_3241,9,12.459,23.721,Tier4_Weak,Tier4_Weak
MA_4116,9,48.387,48.871,Tier3_Moderate,Tier3_Moderate
MA_3185,9,8.201,20.741,Tier4_Weak,Tier4_Weak
MA_3928,9,2.873,17.011,Tier4_Weak,Tier4_Weak
