curated_source,curated_class,curated_confidence,tier,query,candidate,candidate_label,primary_sheet,candidate_rank,all_bucket_ranks,candidate_blast_buckets,protein_hunter_score,interaction_score,interaction_priority_score,interaction_evidence_tier,source_classification,genomic_context,string_neighborhood,co_occurrence,domain_complementarity,string_cooccurrence,coexpression_gse77738,coexpression_gse64349,coexpression_gse77738_status,coexpression_gse64349_status,string_cooccurrence_status,string_neighborhood_status,tier_final
"Lieber et al., PLoS ONE 2014",strict,明記済み+GFF特定(パラログ2候補の一方、要確認),A,MA_0688,MA_1014,CdhC (cluster 1),Interaction_Neg_hit,1230,Interaction_Neg_hit:1230; Interaction_Neg_strong:133,Negative_hit;Negative_strong_hit,9,15.091,2.362,Tier4_Weak,0.0,0.0,0.0,1.0,0.0,0.0,0.9054737304902176,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,B
"Lieber et al., PLoS ONE 2014",strict,明記済み+GFF特定(パラログ2候補の一方、要確認),A,MA_0688,MA_3862,CdhC (cluster 2),Interaction_Neg_hit,1337,Interaction_Neg_hit:1337; Interaction_Neg_strong:214,Negative_hit;Negative_strong_hit,9,13.454,1.19,Tier4_Weak,0.0,0.0,0.0,1.0,0.0,0.0,0.8072103759067927,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,B
"Lieber et al., PLoS ONE 2014",strict,明記済み,A,MA_0688,MA_3733,Mer,Interaction_Neg_hit,1433,Interaction_Neg_hit:1433; Interaction_Neg_strong:285,Negative_hit;Negative_strong_hit,9,5.709,0.0,Tier4_Weak,0.0,0.0,0.0,1.0,0.2,0.0,0.0092327984172345,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,A
"Lieber et al., PLoS ONE 2014",soft,明記済み,A,MA_0688,MA_1478,DnaK,Interaction_Neg_unmatched,675,Interaction_Neg_unmatched:675; Interaction_No_hit:601,Negative_unmatched;No_hit,9,9.907,21.699,Tier4_Weak,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.5944163552429105,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,B
"Lieber et al., PLoS ONE 2014",soft,明記済み,A,MA_0688,MA_4574,Hsp20,Interaction_Candidates_relaxed,1006,Interaction_Candidates_relaxed:1006; Interaction_Neg_hit:887; Interaction_Neg_medium:296,Candidates_relaxed;Negative_hit;Negative_medium_hit,9,15.593,19.771,Tier4_Weak,0.1666666666666667,0.0,0.0,1.0,0.0,0.0,0.9355902396131016,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,B
"Reichlen/Fu et al., J. Bacteriol. 2019",strict,明記済み,A,MA_4165,MA_4164,MtpC,Interaction_Neg_hit,106,Interaction_Neg_hit:106; Interaction_Neg_strong:2,Negative_hit;Negative_strong_hit,9,44.168,17.739,Tier3_Moderate,0.0,1.0,0.585,1.0,0.0,0.0,0.998681028797538,1.0,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,A
"Biochemical Characterization of MtpA/MtpC, 2019",soft,明記済み,A,MA_4165,MA_4384,MtsF,Interaction_Candidates_relaxed,64,Interaction_Candidates_relaxed:64; Interaction_Neg_hit:60,Candidates_relaxed;Negative_hit,9,6.476,31.469,Tier4_Weak,0.0,0.0,0.071,1.0,0.0,0.221,0.0167069685645196,0.103393665158371,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Cryo-EM nitrogenase-PII supercomplex, 2025",strict,明記済み,A,MA_3898,MA_3899,NifK,Interaction_Neg_hit,7,Interaction_Neg_hit:7; Interaction_Neg_strong:2,Negative_hit;Negative_strong_hit,9,50.907,24.958,Tier2_Strong,0.0,1.0,0.756,1.0,0.2,0.34,0.3602989668058914,0.7868778280542986,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,A
"Cryo-EM nitrogenase-PII supercomplex, 2025",strict,明記済み,A,MA_3899,MA_3898,NifD,Interaction_Candidates_relaxed,1,Interaction_Candidates_relaxed:1; Interaction_Neg_hit:1; Interaction_Neg_medium:1,Candidates_relaxed;Negative_hit;Negative_medium_hit,9,51.483,51.298,Tier2_Strong,0.1666666666666667,1.0,0.756,1.0,0.2,0.34,0.4159155858430424,0.7581447963800905,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,A
"Cryo-EM nitrogenase-PII supercomplex, 2025",strict,GFF特定(遺伝子名なし、オペロン順序による推定),A,MA_3898,MA_3896,NifI1,Interaction_Neg_hit,76,Interaction_Neg_hit:76; Interaction_Neg_strong:5,Negative_hit;Negative_strong_hit,9,50.447,19.926,Tier2_Strong,0.0,1.0,0.722,0.5,0.0,0.229,0.9468014948340294,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,A
"Cryo-EM nitrogenase-PII supercomplex, 2025",strict,GFF特定(遺伝子名なし、オペロン順序による推定),A,MA_3898,MA_3897,NifI2,Interaction_Neg_hit,287,Interaction_Neg_hit:287; Interaction_Neg_strong:7,Negative_hit;Negative_strong_hit,9,43.529,13.333,Tier3_Moderate,0.0,1.0,0.802,0.5,0.0,0.0,0.7346669597713783,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,A
"Cryo-EM nitrogenase-PII supercomplex, 2025",strict,GFF特定(NifDK複合体としての構造確認),A,MA_3899,MA_3896,NifI1,Interaction_Neg_hit,424,Interaction_Neg_hit:424; Interaction_Neg_strong:5,Negative_hit;Negative_strong_hit,9,37.717,10.94,Tier3_Moderate,0.0,1.0,0.651,0.5,0.0,0.258,0.2207078478786547,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,A
"Cryo-EM nitrogenase-PII supercomplex, 2025",strict,GFF特定(NifDK複合体としての構造確認),A,MA_3899,MA_3897,NifI2,Interaction_Neg_hit,785,Interaction_Neg_hit:785; Interaction_Neg_strong:9,Negative_hit;Negative_strong_hit,9,32.473,5.528,Tier3_Moderate,0.0,1.0,0.72,0.5,0.0,0.0,0.1567377445592438,,AVAILABLE,MISSING,AVAILABLE,AVAILABLE,A
"Structure of the ATP-driven MCR activation complex, Nature 2025",strict,GFF特定(高確信度)、要確認(生物種:M. maripaludis),B,MA_4548,MA_3992,Mmp7,Interaction_Neg_hit,375,Interaction_Neg_hit:375; Interaction_Neg_strong:7,Negative_hit;Negative_strong_hit,9,33.932,14.84,Tier3_Moderate,0.0,0.0,0.185,1.0,0.0,0.755,0.9250384699934052,0.8228506787330316,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Structure of the ATP-driven MCR activation complex, Nature 2025",strict,GFF特定(高確信度)、要確認(生物種:M. maripaludis),B,MA_3992,MA_4548,McrC,Interaction_Neg_hit,1006,Interaction_Neg_hit:1006; Interaction_Neg_strong:30,Negative_hit;Negative_strong_hit,9,22.5,5.719,Tier4_Weak,0.0,0.0,0.185,1.0,0.0,0.755,0.2723675533084194,0.03710407239819,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Structure of the ATP-driven MCR activation complex, Nature 2025",strict,GFF特定、要確認(生物種),B,MA_4548,MA_3993,Mmp17,Interaction_Candidates_relaxed,3,Interaction_Candidates_relaxed:3; Interaction_Neg_hit:5; Interaction_Neg_weak:1,Candidates_relaxed;Negative_hit;Negative_weak_hit,9,34.189,45.227,Tier3_Moderate,0.3333333333333333,0.0,0.185,1.0,0.0,0.743,0.9351505825456145,0.9140271493212668,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Structure of the ATP-driven MCR activation complex, Nature 2025",strict,GFF特定、要確認(生物種),B,MA_4548,MA_4546,McrA,Interaction_Neg_hit,2,Interaction_Neg_hit:2; Interaction_Neg_strong:1,Negative_hit;Negative_strong_hit,9,64.422,38.006,Tier2_Strong,0.0,1.0,0.846,1.0,0.0,0.756,0.9967025719938448,0.9995475113122172,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Structure of the ATP-driven MCR activation complex, Nature 2025",strict,GFF特定、要確認(生物種),B,MA_3997,MA_4546,McrA,Interaction_Neg_hit,795,Interaction_Neg_hit:795; Interaction_Neg_strong:18,Negative_hit;Negative_strong_hit,9,23.998,9.472,Tier4_Weak,0.0,0.0,0.061,1.0,0.0,0.743,0.563860189052539,0.0988687782805429,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Structure of the ATP-driven MCR activation complex, Nature 2025",strict,GFF特定、要確認(生物種),B,MA_3998,MA_4546,McrA,Interaction_Neg_hit,651,Interaction_Neg_hit:651; Interaction_Neg_strong:10,Negative_hit;Negative_strong_hit,9,26.891,11.513,Tier3_Moderate,0.0,0.0,0.053,1.0,0.0,0.752,0.5963948120466036,0.683710407239819,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Dissertation experimental work, 2022 (未特定)",soft,GFF特定、出典未検証,B,MA_4548,MA_3997,Mmp3,Interaction_Candidates_relaxed,9,Interaction_Candidates_relaxed:9; Interaction_Neg_hit:10; Interaction_Neg_medium:2,Candidates_relaxed;Negative_hit;Negative_medium_hit,9,34.085,40.86,Tier3_Moderate,0.1666666666666667,0.0,0.183,1.0,0.0,0.741,0.9489997801714662,0.8658371040723982,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Dissertation experimental work, 2022 (未特定)",soft,GFF特定、出典未検証,B,MA_3997,MA_4548,McrC,Interaction_Neg_hit,840,Interaction_Neg_hit:840; Interaction_Neg_strong:21,Negative_hit;Negative_strong_hit,9,26.943,8.855,Tier3_Moderate,0.0,0.0,0.183,1.0,0.0,0.741,0.6491536601450868,0.0513574660633484,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Dissertation experimental work, 2022 (未特定)",soft,GFF特定、出典未検証,B,MA_3992,MA_4546,McrA,Interaction_Neg_hit,931,Interaction_Neg_hit:931; Interaction_Neg_strong:21,Negative_hit;Negative_strong_hit,9,20.757,7.183,Tier4_Weak,0.0,0.0,0.061,1.0,0.0,0.757,0.2950098922840185,0.0574660633484162,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Dissertation experimental work, 2022 (未特定)",soft,GFF特定、出典未検証,B,MA_3992,MA_4550,McrB,Interaction_Neg_hit,1050,Interaction_Neg_hit:1050; Interaction_Neg_strong:43,Negative_hit;Negative_strong_hit,9,18.244,4.913,Tier4_Weak,0.0,0.0,0.061,1.0,0.0,0.756,0.0967245548472191,0.0542986425339366,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Dissertation experimental work, 2022 (未特定)",soft,GFF特定、出典未検証,B,MA_3992,MA_3997,Mmp3,Interaction_Candidates_relaxed,2,Interaction_Candidates_relaxed:2; Interaction_Neg_hit:2; Interaction_Neg_medium:1,Candidates_relaxed;Negative_hit;Negative_medium_hit,9,60.318,59.378,Tier2_Strong,0.1666666666666667,1.0,0.66,1.0,0.0,0.749,0.9815344031655308,0.8701357466063349,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
"Dissertation experimental work, 2022 (未特定)",soft,GFF特定、出典未検証,B,MA_3997,MA_3992,Mmp7,Interaction_Neg_hit,4,Interaction_Neg_hit:4; Interaction_Neg_strong:3,Negative_hit;Negative_strong_hit,9,60.604,33.667,Tier2_Strong,0.0,1.0,0.66,1.0,0.0,0.749,0.9971422290613322,0.8918552036199096,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,B
